likesCount,tweetUrl,action,profileUrl,handle,description,name,rtCount
,https://twitter.com/postimees/status/1276871112232710146,RT,https://www.twitter.com/@KarliKelk79,@KarliKelk79,"Filosofian maisteri, baltti ja @ChelseaFC'n fani. Tviitit suomeksi, in English ja eesti keeles. Ajattelen vapaasti, tabuja ei ole. 😎🇫🇮🇬🇧🇪🇪🇸🇪🇮🇹🇬🇪",Karli Kelk,1
1,https://twitter.com/postimees/status/1276843163777449984,liked,https://www.twitter.com/@ASaaretalu,@ASaaretalu,,Andi Saaretalu,
1,https://twitter.com/postimees/status/1276808667149582336,liked,https://www.twitter.com/@HirmusHenrik,@HirmusHenrik,Call me a empathetic cynic,Henrik Vollmer,
,https://twitter.com/postimees/status/1276808667149582336,RT,https://www.twitter.com/@pykalisto_pasi,@pykalisto_pasi,Hyyh15 & KyO,Pasi Pykälistö,1
1,https://twitter.com/postimees/status/1276562351643332610,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
1,https://twitter.com/postimees/status/1276541651415109632,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
1,https://twitter.com/postimees/status/1276509346936094720,liked,https://www.twitter.com/@mikusmeets,@mikusmeets,"[born immigrant/refugee family, raised white colonial culture] he:him",Mïku Smeets🥯🦝🚈,
2,https://twitter.com/postimees/status/1276493186593107968,liked,https://www.twitter.com/@JuneYourTech,@JuneYourTech,"Март Апрелевич Маев. • A strange combo of a typical Slashdotter, Dustin Kudlick, Eli Wallace, Sid Fernwilter, Gir and Gaz. • The repairs. • I make userstyles.",JuneYourTech (he/him) 🏳️‍🌈🇪🇪🇪🇺,
2,https://twitter.com/postimees/status/1276493186593107968,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
,https://twitter.com/postimees/status/1276493186593107968,RT,https://www.twitter.com/@JuneYourTech,@JuneYourTech,"Март Апрелевич Маев. • A strange combo of a typical Slashdotter, Dustin Kudlick, Eli Wallace, Sid Fernwilter, Gir and Gaz. • The repairs. • I make userstyles.",JuneYourTech (he/him) 🏳️‍🌈🇪🇪🇪🇺,1
,https://twitter.com/postimees/status/1276409575223242752,RT,https://www.twitter.com/@svenvarkel,@svenvarkel,Father. Chief Systems Engineer. Singer of Estonian heavy-metal band HERALD. Aficionado of Islay single malts. Hobbyist sourdough baker. #coding #music #baking,Sven Varkel,1
1,https://twitter.com/postimees/status/1276397479475458055,liked,https://www.twitter.com/@DEBrozina,@DEBrozina,"#Cinematographer, #producer, and #director. Help companies with #contentstrategy and #story consulting. Unskilled #surfer and good #cook the rest of the time.",Deborah Brozina,
3,https://twitter.com/postimees/status/1276396380681129984,liked,https://www.twitter.com/@DEBrozina,@DEBrozina,"#Cinematographer, #producer, and #director. Help companies with #contentstrategy and #story consulting. Unskilled #surfer and good #cook the rest of the time.",Deborah Brozina,
